Institution Name,Full Time Enrollment,State,Ranking List,Rank,Rank Pct Rank,Undergraduate Admit Rate,Undergraduate Admit Rate Pct Rank,Average Monthly Search Volume,Average Monthly Search Volume Pct Rank,Credential Score,Student Life Grade,Student Life Score,Experience Score,15-Year NPV,15-Year NPV PCT Rank,30-Year NPV,30-Year NPV PCT Rank,Instructional Wages per Full-Time Student,Instructional Wages per Full-Time Student PCT Rank,Eduation Score,Average Undergraduate Tuition and Fees,Average Undergraduate Tuition & Fees Score,"Value
(C x E x E)",Value-to-Cost Ratio,Endowment per Full Time Student,Endowment per Full Time Student Pct Rank,Percentage of International Students,Percentage of International Students PCT Rank,Vulnerability Score,Prof G Categorization
Hartwick College,1156,NY,USN National College Ranking,160,0.30,0.83,0.12,14800,0.19,0.61,C+,3.00,1.80,232000.00,0.18,678000.00,0.24,8249.00,0.41,0.84,45510.00,0.67,0.9638208,0.059694091,66872.00,0.46,0.02,0.26,0.72,Struggle
Harvard University,21006,MA,USN National University Ranking,2,1.00,0.05,1.00,246000,0.98,2.97,A+,5.00,3.00,640000.00,1.00,1513000.00,1,31938.00,0.97,2.96,50420.00,0.78,26.382402,1.29764409,1867740.00,0.01,0.13,0.86,0.87,Thrive
Harvey Mudd College,887,CA,USN National College Ranking,23,0.90,0.14,0.94,18100,0.26,2.1,B,3.66,2.20,537000.00,0.97,1402000.00,0.99,16804.00,0.89,2.85,56620.00,0.99,13.17157506,0.491275039,357176.00,0.11,0.10,0.78,0.89,Thrive
Haverford College,1308,PA,USN National College Ranking,11,0.95,0.19,0.91,33100,0.47,2.33,A+,5.00,3.00,319000.00,0.70,910000.00,0.78,13294.00,0.80,2.28,54838.00,0.92,16.18812,0.649577465,396701.00,0.09,0.14,0.89,0.98,Survive
Hendrix College,1199,AR,USN National College Ranking,92,0.59,0.72,0.34,27100,0.41,1.34,A,4.66,2.80,214000.00,0.11,601000.00,0.1,7888.00,0.37,0.57,45790.00,0.69,1.862972004,0.113672097,172130.00,0.22,0.01,0.07,0.29,Struggle
Hobart William Smith Colleges,2220,NY,USN National College Ranking,72,0.68,0.57,0.63,590,0,1.32,B-,3.33,2.00,254000.00,0.32,775000.00,0.54,9056.00,0.51,1.36,55255.00,0.95,3.82545072,0.150247466,104531.00,0.34,0.04,0.50,0.84,Struggle
Hofstra University,9331,NY,USN National University Ranking,162,0.29,0.63,0.53,90500,0.82,1.64,B,3.66,2.20,256000.00,0.33,773000.00,0.53,10759.00,0.67,1.53,45700.00,0.68,5.482393056,0.295562729,65527.00,0.47,0.05,0.59,1.06,Perish
Hollins University,718,VA,USN National College Ranking,102,0.55,0.64,0.51,14800,0.19,1.25,B-,3.33,2.00,177000.00,0.04,522000.00,0.02,11201.00,0.71,0.77,39035.00,0.52,1.884297816,0.148486826,259519.00,0.15,0.09,0.74,0.89,Struggle
Hope College,3032,MI,USN National College Ranking,105,0.52,0.76,0.27,22200,0.33,1.12,A-,4.33,2.60,234000.00,0.19,684000.00,0.25,7515.00,0.30,0.75,34010.00,0.43,2.344320888,0.256125957,74425.00,0.42,0.02,0.26,0.68,Struggle
Houghton College,937,NY,USN National College Ranking,124,0.46,0.95,0.01,12100,0.14,0.61,C+,3.00,1.80,205000.00,0.08,570000.00,0.06,5361.00,0.03,0.17,32488.00,0.42,0.204858,0.023636552,60000.00,0.51,0.02,0.26,0.77,Struggle
