Institution Name,Full Time Enrollment,State,Ranking List,Rank,Rank Pct Rank,Undergraduate Admit Rate,Undergraduate Admit Rate Pct Rank,Average Monthly Search Volume,Average Monthly Search Volume Pct Rank,Credential Score,Student Life Grade,Student Life Score,Experience Score,15-Year NPV,15-Year NPV PCT Rank,30-Year NPV,30-Year NPV PCT Rank,Instructional Wages per Full-Time Student,Instructional Wages per Full-Time Student PCT Rank,Eduation Score,Average Undergraduate Tuition and Fees,Average Undergraduate Tuition & Fees Score,"Value
(C x E x E)",Value-to-Cost Ratio,Endowment per Full Time Student,Endowment per Full Time Student Pct Rank,Percentage of International Students,Percentage of International Students PCT Rank,Vulnerability Score,Prof G Categorization
University of New Mexico-Main Campus,16897,NM,USN National University Ranking,218,0.16,0.70,0.40,33100,0.47,1.03,B-,3.33,2.00,216000.00,0.11,571000.00,0.06,10052.00,0.60,0.78,15110.00,0.08,1.600571826,0.722932171,27636.00,0.71,0.02,0.26,0.97,Survive
University of North Carolina at Asheville,3233,NC,USN National College Ranking,148,0.34,0.94,0.02,2900,0.04,0.4,A-,4.33,2.60,212000.00,0.10,548000.00,0.03,6997.00,0.22,0.35,15507.00,0.09,0.362405412,0.144327125,15178.00,0.85,0.01,0.07,0.92,Struggle
University of North Carolina at Chapel Hill,25220,NC,USN National University Ranking,29,0.87,0.23,0.88,33100,0.47,2.23,A+,5.00,3.00,362000.00,0.82,904000.00,0.76,19097.00,0.93,2.51,22079.00,0.23,16.788492,2.668652361,131152.00,0.28,0.05,0.59,0.87,Thrive
University of North Carolina at Charlotte,23589,NC,USN National University Ranking,228,0.14,0.67,0.46,60500,0.7,1.3,A-,4.33,2.60,270000.00,0.42,698000.00,0.29,7154.00,0.23,0.95,13570.00,0.04,3.196849392,3.115837614,8548.00,0.93,0.01,0.07,0.99,Survive
University of North Carolina at Greensboro,15839,NC,USN National University Ranking,272,0.04,0.84,0.10,4400,0.05,0.2,A-,4.33,2.60,241000.00,0.22,606000.00,0.1,6717.00,0.17,0.49,14911.00,0.07,0.24722568,0.130807238,18438.00,0.82,0.00,0.00,0.82,Struggle
University of North Carolina Wilmington,13075,NC,USN National University Ranking,185,0.24,0.61,0.56,12100,0.14,0.94,A-,4.33,2.60,243000.00,0.24,648000.00,0.16,6535.00,0.14,0.54,14124.00,0.05,1.317703002,0.938534902,7780.00,0.94,0.01,0.07,1.01,Survive
University of North Dakota,9935,ND,USN National University Ranking,263,0.06,0.82,0.14,27100,0.41,0.62,A-,4.33,2.60,319000.00,0.70,793000.00,0.58,10135.00,0.61,1.89,14727.00,0.07,3.042793188,1.657294765,28362.00,0.70,0.02,0.26,0.96,Survive
University of North Florida,11396,FL,USN National University Ranking,281,0.03,0.61,0.56,27100,0.41,1,A-,4.33,2.60,277000.00,0.47,697000.00,0.29,4581.00,0.01,0.77,13596.00,0.04,2.001249792,1.807813724,9943.00,0.92,0.00,0.00,0.92,Thrive
University of North Texas,28441,TX,USN National University Ranking,281,0.03,0.71,0.37,49500,0.63,1.03,A,4.66,2.80,290000.00,0.56,728000.00,0.38,5293.00,0.03,0.96,15832.00,0.10,2.748210768,1.0602665,6386.00,0.97,0.05,0.59,1.56,Survive
University of Notre Dame,12323,IN,USN National University Ranking,15,0.93,0.18,0.91,90500,0.82,2.67,A+,5.00,3.00,466000.00,0.96,1230000.00,0.96,19019.00,0.92,2.84,53391.00,0.86,22.699344,0.983294087,897919.00,0.03,0.09,0.74,0.77,Thrive
University of Oklahoma-Norman Campus,22059,OK,USN National University Ranking,132,0.43,0.78,0.21,74000,0.78,1.42,A+,5.00,3.00,312000.00,0.66,809000.00,0.61,7620.00,0.32,1.59,19229.00,0.18,6.78618,1.412022472,2898.00,1.00,0.03,0.39,1.39,Survive
University of Oregon,20703,OR,USN National University Ranking,104,0.55,0.83,0.12,135000,0.9,1.56,A+,5.00,3.00,277000.00,0.47,713000.00,0.34,7603.00,0.32,1.13,23688.00,0.27,5.309238,0.728290535,44076.00,0.59,0.04,0.50,1.09,Survive
University of Pennsylvania,21960,PA,USN National University Ranking,6,0.98,0.08,0.98,135000,0.9,2.86,A+,5.00,3.00,561000.00,0.99,1397000.00,0.99,30539.00,0.97,2.94,55584.00,0.97,25.215624,0.967784456,627388.00,0.05,0.13,0.86,0.91,Thrive
University of Pittsburgh-Pittsburgh Campus,25901,PA,USN National University Ranking,57,0.75,0.59,0.60,90500,0.82,2.17,A+,5.00,3.00,275000.00,0.46,800000.00,0.59,12881.00,0.78,1.83,25566.00,0.31,11.923251,1.443143428,161182.00,0.24,0.05,0.59,0.82,Thrive
University of Puget Sound,2590,WA,USN National College Ranking,89,0.61,0.88,0.05,33100,0.47,1.13,B,3.66,2.20,224000.00,0.14,738000.00,0.42,10521.00,0.65,1.21,49776.00,0.76,3.059888832,0.147949368,142486.00,0.26,0.01,0.07,0.32,Struggle
University of Rhode Island,14321,RI,USN National University Ranking,166,0.28,0.69,0.40,40500,0.55,1.23,B+,4.00,2.40,316000.00,0.69,831000.00,0.66,6304.00,0.11,1.45,22500.00,0.24,4.2819624,0.67485617,11604.00,0.90,0.01,0.07,0.96,Survive
University of Richmond,3449,VA,USN National College Ranking,23,0.90,0.30,0.85,49500,0.63,2.38,A,4.66,2.80,362000.00,0.82,990000.00,0.87,16046.00,0.87,2.56,52610.00,0.83,17.03341094,0.76008081,728206.00,0.04,0.09,0.74,0.78,Thrive
University of Rochester,9937,NY,USN National University Ranking,29,0.87,0.29,0.85,60500,0.7,2.42,B+,4.00,2.40,323000.00,0.72,919000.00,0.79,22115.00,0.95,2.46,53909.00,0.88,14.2524672,0.60259036,227167.00,0.17,0.37,1.00,1.17,Survive
University of Saint Joseph,1338,CT,USN National University Ranking,147,0.36,0.72,0.34,4400,0.05,0.74,B,3.66,2.20,292000.00,0.57,807000.00,0.6,12156.00,0.75,1.92,38173.00,0.50,3.133397736,0.231640255,25052.00,0.74,0.00,0.00,0.74,Struggle
University of San Diego,7349,CA,USN National University Ranking,91,0.60,0.53,0.67,74000,0.78,2.05,A,4.66,2.80,315000.00,0.68,899000.00,0.76,11550.00,0.72,2.16,49358.00,0.75,12.41058842,0.611238595,72118.00,0.43,0.04,0.50,0.93,Thrive
University of San Francisco,9788,CA,USN National University Ranking,97,0.57,0.65,0.50,60500,0.7,1.76,A-,4.33,2.60,337000.00,0.77,944000.00,0.83,10167.00,0.62,2.21,48066.00,0.73,10.13497466,0.511402496,40633.00,0.62,0.13,0.86,1.48,Survive
University of South Carolina-Columbia,31270,SC,USN National University Ranking,104,0.55,0.63,0.53,2900,0.04,1.12,A+,5.00,3.00,265000.00,0.38,703000.00,0.31,7897.00,0.37,1.06,22958.00,0.25,3.5457,0.523196104,20514.00,0.78,0.01,0.07,0.85,Thrive
University of South Dakota,6252,SD,USN National University Ranking,263,0.06,0.86,0.08,22200,0.33,0.47,A-,4.33,2.60,252000.00,0.30,661000.00,0.2,7351.00,0.26,0.75,10743.00,0.00,0.924597024,8.561083556,39005.00,0.63,0.02,0.26,0.88,Thrive
University of South Florida-Main Campus,31546,FL,USN National University Ranking,104,0.55,0.43,0.76,74000,0.78,2.08,A+,5.00,3.00,290000.00,0.56,713000.00,0.34,8572.00,0.45,1.35,11867.00,0.02,8.415192,19.47961111,14089.00,0.86,0.05,0.59,1.44,Survive
University of Southern California,40952,CA,USN National University Ranking,22,0.91,0.13,0.95,90500,0.82,2.68,A+,5.00,3.00,425000.00,0.92,1146000.00,0.94,27967.00,0.96,2.83,56225.00,0.98,22.704525,0.858946204,135385.00,0.27,0.15,0.92,1.19,Survive
University of St Francis,1611,IL,USN National University Ranking,202,0.20,0.47,0.74,9900,0.11,1.05,B+,4.00,2.40,332000.00,0.76,849000.00,0.69,7123.00,0.23,1.68,32320.00,0.41,4.208424,0.37649168,12282.00,0.88,0.02,0.26,1.14,Perish
University of St Thomas,7372,MN,USN National University Ranking,139,0.39,0.80,0.18,33100,0.47,1.05,A,4.66,2.80,301000.00,0.63,855000.00,0.7,39216.00,0.98,2.31,42736.00,0.61,6.67175928,0.39984174,223122.00,0.18,0.02,0.26,0.43,Struggle
University of the Incarnate Word,6214,TX,USN National University Ranking,272,0.04,0.88,0.06,22200,0.33,0.44,A,4.66,2.80,264000.00,0.38,717000.00,0.36,7147.00,0.23,0.97,31484.00,0.39,1.17908718,0.111119327,22855.00,0.76,0.03,0.39,1.15,Perish
University of the Pacific,5688,CA,USN National University Ranking,125,0.45,0.63,0.52,40500,0.55,1.52,B-,3.33,2.00,411000.00,0.91,1110000.00,0.92,14315.00,0.85,2.68,48164.00,0.74,8.138329524,0.407874982,79637.00,0.40,0.05,0.59,0.98,Perish
University of Tulsa,3917,OK,USN National University Ranking,121,0.47,0.41,0.77,18100,0.26,1.5,B+,4.00,2.40,268000.00,0.41,740000.00,0.43,10975.00,0.69,1.52,41509.00,0.58,5.4974208,0.352263283,284560.00,0.14,0.08,0.71,0.84,Struggle
University of Utah,24865,UT,USN National University Ranking,104,0.55,0.67,0.46,110000,0.87,1.88,A,4.66,2.80,347000.00,0.79,863000.00,0.7,11560.00,0.73,2.22,19219.00,0.18,11.64026806,2.449551359,42302.00,0.60,0.04,0.50,1.10,Survive
University of Vermont,11941,VT,USN National University Ranking,121,0.47,0.68,0.44,49500,0.63,1.55,A,4.66,2.80,281000.00,0.51,741000.00,0.43,8911.00,0.49,1.42,30396.00,0.38,6.15142368,0.596414939,41101.00,0.61,0.01,0.07,0.68,Thrive
University of Virginia-Main Campus,22509,VA,USN National University Ranking,28,0.88,0.26,0.87,110000,0.87,2.61,A+,5.00,3.00,385000.00,0.87,981000.00,0.86,13808.00,0.83,2.55,33343.00,0.43,19.98945,1.721744186,304601.00,0.12,0.04,0.50,0.62,Thrive
University of Washington-Seattle Campus,41872,WA,USN National University Ranking,62,0.73,0.49,0.71,246000,0.98,2.42,A+,5.00,3.00,389000.00,0.88,951000.00,0.84,19234.00,0.93,2.65,23898.00,0.27,19.225161,2.617805147,84412.00,0.37,0.16,0.93,1.31,Survive
University of Wisconsin-Madison,39045,WI,USN National University Ranking,46,0.80,0.52,0.68,49500,0.63,2.11,A+,5.00,3.00,347000.00,0.79,894000.00,0.75,10269.00,0.63,2.17,23680.00,0.27,13.742952,1.906360383,108681.00,0.33,0.08,0.71,1.04,Survive
University of Wyoming,9955,WY,USN National University Ranking,228,0.14,0.96,0.01,40500,0.55,0.7,A-,4.33,2.60,310000.00,0.65,771000.00,0.52,9796.00,0.59,1.76,11445.00,0.01,3.17606799,9.048626752,51552.00,0.54,0.01,0.07,0.61,Thrive
Ursinus College,1408,PA,USN National College Ranking,82,0.64,0.71,0.38,22200,0.33,1.35,B,3.66,2.20,287000.00,0.54,825000.00,0.65,8598.00,0.46,1.64,52050.00,0.81,4.853449872,0.221922719,102942.00,0.34,0.02,0.26,0.60,Struggle
Utah State University,18490,UT,USN National University Ranking,254,0.08,0.89,0.05,33100,0.47,0.6,B+,4.00,2.40,275000.00,0.46,696000.00,0.28,6408.00,0.13,0.86,15227.00,0.09,1.2420864,0.516889888,20391.00,0.78,0.01,0.07,0.85,Thrive
Valparaiso University,3481,IN,USN National University Ranking,153,0.33,0.89,0.04,27100,0.41,0.79,B+,4.00,2.40,277000.00,0.47,750000.00,0.47,7911.00,0.37,1.31,40260.00,0.55,2.4818832,0.165624505,71938.00,0.44,0.01,0.07,0.50,Struggle
Vanderbilt University,11864,TN,USN National University Ranking,15,0.93,0.10,0.96,110000,0.87,2.77,A+,5.00,3.00,441000.00,0.95,1113000.00,0.93,17310.00,0.89,2.77,49816.00,0.76,22.968864,1.11347993,388441.00,0.09,0.13,0.86,0.96,Survive
Vassar College,2442,NY,USN National College Ranking,14,0.94,0.25,0.87,60500,0.7,2.51,A-,4.33,2.60,297000.00,0.61,829000.00,0.65,15196.00,0.86,2.13,56960.00,1.00,13.86558835,0.516120914,443420.00,0.07,0.14,0.89,0.95,Survive
Villanova University,7876,PA,USN National University Ranking,46,0.80,0.29,0.86,60500,0.7,2.36,A,4.66,2.80,410000.00,0.91,1169000.00,0.95,12240.00,0.75,2.61,53308.00,0.85,17.17468164,0.750117123,90222.00,0.36,0.04,0.50,0.86,Thrive
Virginia Commonwealth University,25301,VA,USN National University Ranking,162,0.29,0.86,0.07,27100,0.41,0.77,A,4.66,2.80,241000.00,0.22,669000.00,0.22,9220.00,0.53,0.97,25164.00,0.30,2.094852672,0.256911046,77125.00,0.41,0.02,0.26,0.66,Struggle
Virginia Military Institute,1685,VA,USN National College Ranking,72,0.68,0.51,0.68,12100,0.14,1.51,B-,3.33,2.00,402000.00,0.90,1042000.00,0.89,8171.00,0.41,2.2,32284.00,0.41,6.615378,0.579229314,301019.00,0.13,0.01,0.07,0.19,Thrive
Wabash College,881,IN,USN National College Ranking,53,0.77,0.65,0.49,12100,0.14,1.4,A-,4.33,2.60,324000.00,0.73,872000.00,0.71,8864.00,0.48,1.92,43650.00,0.63,6.97843584,0.409604733,396901.00,0.09,0.04,0.50,0.59,Struggle
Wake Forest University,7880,NC,USN National University Ranking,27,0.89,0.29,0.85,49500,0.63,2.37,A+,5.00,3.00,338000.00,0.77,959000.00,0.84,18355.00,0.91,2.53,53322.00,0.85,17.944227,0.780964747,168687.00,0.23,0.12,0.83,1.05,Survive
Warren Wilson College,720,NC,USN National College Ranking,160,0.30,0.86,0.08,12100,0.14,0.52,B-,3.33,2.00,80000.00,0.00,329000.00,0,5334.00,0.03,0.03,36280.00,0.46,0.027944028,0.002254824,73079.00,0.43,0.02,0.26,0.69,Struggle
Wartburg College,1456,IA,USN National College Ranking,148,0.34,0.76,0.26,12100,0.14,0.75,B+,4.00,2.40,254000.00,0.32,696000.00,0.28,4866.00,0.02,0.62,41280.00,0.57,1.1133288,0.07246819,52705.00,0.53,0.06,0.64,1.17,Perish
Washington & Jefferson College,1351,PA,USN National College Ranking,92,0.59,0.82,0.14,2400,0.02,0.75,B-,3.33,2.00,291000.00,0.57,822000.00,0.63,7023.00,0.22,1.42,47964.00,0.73,2.110403484,0.105912049,106281.00,0.34,0.01,0.07,0.40,Struggle
Washington and Lee University,2219,VA,USN National College Ranking,10,0.96,0.21,0.89,18100,0.26,2.11,A,4.66,2.80,452000.00,0.95,1193000.00,0.95,19081.00,0.93,2.83,52455.00,0.82,16.70165436,0.751615785,722449.00,0.04,0.04,0.50,0.54,Thrive
Washington College,1346,MD,USN National College Ranking,105,0.52,0.64,0.52,27100,0.41,1.46,B,3.66,2.20,259000.00,0.35,759000.00,0.49,9052.00,0.50,1.34,46978.00,0.71,4.276143432,0.22337896,168590.00,0.23,0.01,0.07,0.30,Struggle
Washington State University,26683,WA,USN National University Ranking,166,0.28,0.77,0.23,90500,0.82,1.33,A+,5.00,3.00,320000.00,0.70,813000.00,0.62,7535.00,0.32,1.64,18702.00,0.17,6.526719,1.430357002,38388.00,0.63,0.02,0.26,0.89,Thrive
Washington University in St Louis,13773,MO,USN National University Ranking,19,0.92,0.15,0.93,33100,0.47,2.31,A+,5.00,3.00,411000.00,0.91,1093000.00,0.91,68315.00,1.00,2.82,53399.00,0.86,19.574919,0.844984848,558149.00,0.06,0.08,0.71,0.76,Thrive
Wayne State University,18746,MI,USN National University Ranking,246,0.10,0.71,0.37,74000,0.78,1.25,B+,4.00,2.40,259000.00,0.35,656000.00,0.19,10721.00,0.67,1.21,20544.00,0.21,3.6182952,0.65371187,21169.00,0.77,0.01,0.07,0.84,Thrive
Wellesley College,2391,MA,USN National College Ranking,3,0.99,0.20,0.90,49500,0.63,2.52,A-,4.33,2.60,358000.00,0.82,950000.00,0.83,19018.00,0.92,2.57,53732.00,0.86,16.80604632,0.720423796,880473.00,0.03,0.15,0.92,0.95,Survive
Wells College,463,NY,USN National College Ranking,124,0.46,0.79,0.20,8100,0.08,0.75,D,2.00,1.20,166000.00,0.02,507000.00,0.02,6956.00,0.21,0.25,40700.00,0.56,0.221712,0.014716049,80313.00,0.39,0.02,0.26,0.64,Struggle
Wesleyan College,523,GA,USN National College Ranking,145,0.36,0.48,0.72,12100,0.14,1.23,C,2.66,1.60,173000.00,0.03,464000.00,0.01,7475.00,0.30,0.34,23000.00,0.26,0.65959488,0.0954275,114645.00,0.32,0.03,0.39,0.71,Struggle
Wesleyan University,3052,CT,USN National College Ranking,17,0.93,0.17,0.92,74000,0.78,2.62,A,4.66,2.80,278000.00,0.48,811000.00,0.61,17710.00,0.90,2,54944.00,0.93,14.64406118,0.583824151,349023.00,0.11,0.14,0.89,1.00,Survive
West Virginia University,23846,WV,USN National University Ranking,228,0.14,0.82,0.16,60500,0.7,0.99,A+,5.00,3.00,299000.00,0.62,745000.00,0.44,9644.00,0.57,1.64,16903.00,0.13,4.870665,1.44316,28161.00,0.71,0.02,0.26,0.96,Survive
Western Michigan University,16030,MI,USN National University Ranking,246,0.10,0.81,0.17,60500,0.7,0.96,A,4.66,2.80,263000.00,0.37,701000.00,0.3,7399.00,0.27,0.95,13928.00,0.05,2.541933072,2.092125985,25469.00,0.74,0.03,0.39,1.12,Survive
Western New England University,3129,MA,USN National University Ranking,218,0.16,0.85,0.08,18100,0.26,0.5,C+,3.00,1.80,288000.00,0.54,823000.00,0.64,8139.00,0.40,1.58,36804.00,0.47,1.4294952,0.113614306,21421.00,0.77,0.01,0.07,0.83,Struggle
Westminster College,2199,PA,USN National College Ranking,114,0.50,0.66,0.47,27100,0.41,1.38,A-,4.33,2.60,292000.00,0.57,777000.00,0.54,8116.00,0.39,1.51,36806.00,0.47,5.421223218,0.428115235,56121.00,0.52,0.03,0.39,0.91,Struggle
Westminster College,692,MO,USN National College Ranking,157,0.31,0.94,0.01,27100,0.41,0.73,A-,4.33,2.60,240000.00,0.22,661000.00,0.2,8116.00,0.39,0.8,27600.00,0.33,1.531084536,0.1723612,74856.00,0.42,0.03,0.39,0.81,Struggle
Westmont College,1266,CA,USN National College Ranking,117,0.50,0.62,0.55,18100,0.26,1.3,B,3.66,2.20,238000.00,0.21,738000.00,0.42,9253.00,0.53,1.15,45304.00,0.67,3.2887296,0.183165113,66350.00,0.47,0.01,0.07,0.54,Struggle
Wheaton College,2601,IL,USN National College Ranking,58,0.74,0.83,0.13,40500,0.55,1.42,A,4.66,2.80,238000.00,0.21,701000.00,0.3,9078.00,0.51,1.03,36420.00,0.46,4.062073536,0.325643221,188055.00,0.19,0.03,0.39,0.58,Struggle
Whitman College,1436,WA,USN National College Ranking,46,0.80,0.50,0.69,22200,0.33,1.83,A,4.66,2.80,178000.00,0.05,677000.00,0.24,12738.00,0.78,1.07,52764.00,0.84,5.44628646,0.24099679,390675.00,0.09,0.07,0.67,0.76,Struggle
Whittier College,1779,CA,USN National College Ranking,105,0.52,0.76,0.25,22200,0.33,1.1,C+,3.00,1.80,236000.00,0.20,692000.00,0.27,10542.00,0.65,1.12,48086.00,0.74,2.2275432,0.112094565,65765.00,0.47,0.02,0.26,0.73,Struggle
Widener University,4496,PA,USN National University Ranking,202,0.20,0.69,0.41,33100,0.47,1.08,B-,3.33,2.00,280000.00,0.50,800000.00,0.59,9066.00,0.51,1.6,45948.00,0.70,3.471828696,0.185016184,20409.00,0.78,0.00,0.00,0.78,Struggle
Wilkes University,2693,PA,USN National University Ranking,211,0.18,0.75,0.28,22200,0.33,0.79,B,3.66,2.20,283000.00,0.52,785000.00,0.55,8814.00,0.48,1.56,36194.00,0.46,2.70114588,0.218911247,19171.00,0.81,0.02,0.26,1.06,Perish
Willamette University,2291,OR,USN National College Ranking,68,0.70,0.84,0.11,18100,0.26,1.07,C+,3.00,1.80,249000.00,0.27,747000.00,0.46,9327.00,0.54,1.27,50279.00,0.78,2.4410826,0.116658667,112890.00,0.32,0.07,0.67,1.00,Perish
William Carey University,3103,MS,USN National University Ranking,281,0.03,0.68,0.44,18100,0.26,0.72,B+,4.00,2.40,192000.00,0.06,530000.00,0.03,6625.00,0.16,0.24,12600.00,0.02,0.4158696,0.700117172,6216.00,0.97,0.00,0.00,0.97,Survive
Williams College,2096,MA,USN National College Ranking,1,1.00,0.13,0.95,60500,0.7,2.64,A-,4.33,2.60,342000.00,0.78,916000.00,0.78,22315.00,0.95,2.51,55450.00,0.95,17.20748408,0.670151657,1252990.00,0.02,0.09,0.74,0.76,Thrive
Wittenberg University,1693,OH,USN National College Ranking,160,0.30,0.74,0.30,18100,0.26,0.86,B+,4.00,2.40,229000.00,0.16,649000.00,0.16,6045.00,0.07,0.4,39500.00,0.52,0.8176512,0.058125485,68491.00,0.45,0.01,0.07,0.52,Struggle
Wofford College,1653,SC,USN National College Ranking,72,0.68,0.64,0.52,27100,0.41,1.61,A-,4.33,2.60,288000.00,0.54,789000.00,0.56,7661.00,0.33,1.43,43985.00,0.64,6.000429132,0.348335605,124616.00,0.30,0.03,0.39,0.69,Struggle
Worcester Polytechnic Institute,5371,MA,USN National University Ranking,64,0.72,0.42,0.77,40500,0.55,2.04,B+,4.00,2.40,468000.00,0.96,1295000.00,0.97,13414.00,0.82,2.74,50530.00,0.78,13.3936224,0.63434794,96748.00,0.35,0.07,0.67,1.02,Survive
Yale University,13303,CT,USN National University Ranking,3,0.99,0.06,0.99,165000,0.94,2.92,A+,5.00,3.00,546000.00,0.99,1356000.00,0.98,38957.00,0.98,2.94,53430.00,0.86,25.745442,1.108761499,2213406.00,0.00,0.12,0.83,0.83,Thrive
Yeshiva University,5379,NY,USN National University Ranking,97,0.57,0.60,0.58,27100,0.41,1.56,A,4.66,2.80,279000.00,0.49,848000.00,0.69,7782.00,0.35,1.52,43500.00,0.62,6.642854232,0.394281472,95714.00,0.35,0.10,0.78,1.13,Perish
